ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
39,Knight Hacks,Oct 9th - 11th,2020-10-09,2020-10-09,2020-10-11,"Everywhere, Worldwide",Digital Only,https://www.knighthacks.org,2021
40,MakeSPP,Oct 9th - 11th,2020-10-09,2020-10-09,2020-10-11,"Everywhere, Worldwide",Digital Only,https://www.makespp.com,2021
41,sunhacks,Oct 9th - 11th,2020-10-09,2020-10-09,2020-10-11,"Everywhere, Worldwide",Digital Only,https://sunhacks.io/,2021
42,GirlHacks,Oct 10th - 11th,2020-10-10,2020-10-10,2020-10-11,"Everywhere, Worldwide",Digital Only,https://girlhacks.github.io/,2021
43,HacktheMountains,Oct 10th - 11th,2020-10-10,2020-10-10,2020-10-11,"Everywhere, Worldwide",Digital Only,https://www.hackthemountain.tech/,2021
44,"Lights, Camera, Hacktion",Oct 10th - 11th,2020-10-10,2020-10-10,2020-10-11,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/4619-lights-camera-hacktion,2021
45,WEHack,Oct 10th - 11th,2020-10-10,2020-10-10,2020-10-11,"Everywhere, Worldwide",Digital Only,https://wehackutd.com,2021
46,HackGT,Oct 16th - 18th,2020-10-16,2020-10-16,2020-10-18,"Everywhere, Worldwide",Digital Only,https://2020.hack.gt/,2021
47,HackNC,Oct 16th - 18th,2020-10-16,2020-10-16,2020-10-18,"Everywhere, Worldwide",Digital Only,https://www.hacknc.com/,2021
48,Hackrithmitic,Oct 16th - 18th,2020-10-16,2020-10-16,2020-10-18,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/4620-hackrithmitic,2021
49,DubHacks,Oct 17th - 18th,2020-10-17,2020-10-17,2020-10-18,"Everywhere, Worldwide",Digital Only,https://dubhacks.co/,2021
50,Girls Hoo Hack,Oct 17th - 18th,2020-10-17,2020-10-17,2020-10-18,"Everywhere, Worldwide",Digital Only,https://www.gwcuva.com/,2021
51,HackTheU,Oct 17th - 18th,2020-10-17,2020-10-17,2020-10-18,"Everywhere, Worldwide",Digital Only,https://hacktheu.org/,2021
52,OwlHacks,Oct 17th - 18th,2020-10-17,2020-10-17,2020-10-18,"Everywhere, Worldwide",Digital Only,https://owlhacks.com/,2021
53,TAMU Datathon,Oct 17th - 18th,2020-10-17,2020-10-17,2020-10-18,"Everywhere, Worldwide",Digital Only,https://tamudatathon.com,2021
54,Local Hack Day: Learn,Oct 18th - 24th,2020-10-18,2020-10-18,2020-10-24,"Everywhere, Worldwide",Digital Only,https://localhackday.mlh.io/,2021
55,HackTheMidlands,Oct 22nd - 25th,2020-10-22,2020-10-22,2020-10-25,"Everywhere, Worldwide",Digital Only,https://hackthemidlands.com/,2021
56,Columbia DivHacks,Oct 23rd - 25th,2020-10-23,2020-10-23,2020-10-25,"Everywhere, Worldwide",Digital Only,https://columbiadivhacks.com/,2021
57,DandyHacks,Oct 23rd - 25th,2020-10-23,2020-10-23,2020-10-25,"Everywhere, Worldwide",Digital Only,https://dandyhacks.net/,2021
58,DemonHacks,Oct 23rd - 25th,2020-10-23,2020-10-23,2020-10-25,"Everywhere, Worldwide",Digital Only,https://demonhacks.com/,2021
59,HackTX,Oct 23rd - 25th,2020-10-23,2020-10-23,2020-10-25,"Everywhere, Worldwide",Digital Only,https://hacktx.com/,2021
60,The Pitt Challenge,Oct 23rd - 25th,2020-10-23,2020-10-23,2020-10-25,"Everywhere, Worldwide",Digital Only,http://pittchallenge.com/,2021
61,Kent Hack Enough,Oct 24th - 25th,2020-10-24,2020-10-24,2020-10-25,"Everywhere, Worldwide",Digital Only,https://khe.io/,2021
62,Technica,Oct 24th - 25th,2020-10-24,2020-10-24,2020-10-25,"Everywhere, Worldwide",Digital Only,https://gotechnica.org/,2021
63,UB Hacking,Oct 24th - 25th,2020-10-24,2020-10-24,2020-10-25,"Everywhere, Worldwide",Digital Only,https://www.ubhacking.com/,2021
64,Hack or Treat?,Oct 30th - Nov 1st,2020-10-30,2020-10-30,2020-11-01,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/4621-hack-or-treat,2021
65,AgriTech Hackathon,Nov 6th - 8th,2020-11-06,2020-11-06,2020-11-08,"Everywhere, Worldwide",Digital Only,https://agritechhackathon.ca/,2021
66,Hack K-State,Nov 6th - 8th,2020-11-06,2020-11-06,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hackkstate.tech/,2021
67,HackPSU,Nov 6th - 8th,2020-11-06,2020-11-06,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hackpsu.org/,2021
68,Hacks and Craft,Nov 6th - 8th,2020-11-06,2020-11-06,2020-11-08,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/5213-hacks-and-crafts,2021
69,TechTogether Boston,Nov 6th - 8th,2020-11-06,2020-11-06,2020-11-08,"Everywhere, Worldwide",Digital Only,https://boston.techtogether.io/,2021
70,TigerHacks,Nov 6th - 8th,2020-11-06,2020-11-06,2020-11-08,"Everywhere, Worldwide",Digital Only,https://tigerhacks.com/,2021
71,hackCBS 3.0,Nov 7th - 8th,2020-11-07,2020-11-07,2020-11-08,"Everywhere, Worldwide",Digital Only,https://hackcbs.tech,2021
