ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
0,MLH INIT 2022,Jun 27th - Jul 5th,2021-06-27,2021-06-27,2021-07-05,"Everywhere, Worldwide",Digital Only,https://hackp.ac/INIT,2022
1,Hacktoon,Jul 9th - 11th,2021-07-09,2021-07-09,2021-07-11,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7140-hacktoon,2022
2,Bon Voyage Hacks,Jul 16th - 18th,2021-07-16,2021-07-16,2021-07-18,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7141-bon-voyage-hacks,2022
3,Hacky Birthday MLH!,Jul 23rd - 25th,2021-07-23,2021-07-23,2021-07-25,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7142-hacky-birthday-mlh,2022
4,SelfieHacks,Jul 30th - Aug 1st,2021-07-30,2021-07-30,2021-08-01,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7143-selfiehacks,2022
5,RoboHacks,Aug 6th - 8th,2021-08-06,2021-08-06,2021-08-08,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7144-robohacks,2022
6,Hack the 6ix,Aug 20th - 22nd,2021-08-20,2021-08-20,2021-08-22,"Everywhere, Worldwide",Digital Only,https://hackthe6ix.com,2022
7,Slam Dunk Hacks,Aug 20th - 22nd,2021-08-20,2021-08-20,2021-08-22,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7157-slam-dunk-hacks,2022
8,SharkHacks3,Aug 27th - 29th,2021-08-27,2021-08-27,2021-08-29,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7158-sharkhacks3,2022
9,TechNova's Hack with Us,Aug 27th - 29th,2021-08-27,2021-08-27,2021-08-29,"Everywhere, Worldwide",Digital Only,https://www.itstechnova.org/,2022
10,Teacher's Hack,Sep 3rd - 5th,2021-09-03,2021-09-03,2021-09-05,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7161-teacher-s-hack,2022
11,OHacksIO,Sep 4th - 6th,2021-09-04,2021-09-04,2021-09-06,"Everywhere, Worldwide",Digital Only,https://ohacksio.org/,2022
12,MedHacks,Sep 10th - 12th,2021-09-10,2021-09-10,2021-09-12,"Everywhere, Worldwide",Digital Only,https://www.medhacks.io/#/,2022
13,PennApps,Sep 10th - 12th,2021-09-10,2021-09-10,2021-09-12,"Everywhere, Worldwide",Digital Only,http://pennapps.com/,2022
14,PreHackstoric,Sep 10th - 12th,2021-09-10,2021-09-10,2021-09-12,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7162-prehackstoric,2022
15,TechTogether Boston,Sep 10th - 12th,2021-09-10,2021-09-10,2021-09-12,"Everywhere, Worldwide",Digital Only,https://boston.techtogether.io,2022
16,HackRice 11,Sep 17th - 19th,2021-09-17,2021-09-17,2021-09-19,"Everywhere, Worldwide",Digital Only,https://hack.rice.edu,2022
17,Hack the North,Sep 17th - 19th,2021-09-17,2021-09-17,2021-09-19,"Everywhere, Worldwide",Digital Only,https://hackthenorth.com/,2022
18,HopHacks,Sep 17th - 19th,2021-09-17,2021-09-17,2021-09-19,"Everywhere, Worldwide",Digital Only,https://hophacks.com/,2022
19,Peace Out Hacks,Sep 17th - 19th,2021-09-17,2021-09-17,2021-09-19,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7163-peace-out-hacks,2022
20,Backyard Hacks 2.0,Sep 24th - 26th,2021-09-24,2021-09-24,2021-09-26,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7164-backyardhacks-2-0,2022
21,BigRed//Hacks,Sep 24th - 26th,2021-09-24,2021-09-24,2021-09-26,"Ithaca, NY",Digital Only,https://bigredhacks.com/,2022
22,SBUHacks,Sep 24th - 25th,2021-09-24,2021-09-24,2021-09-25,"Everywhere, Worldwide",Digital Only,https://sbuhacks.org/,2022
23,ShellHacks,Sep 24th - 26th,2021-09-24,2021-09-24,2021-09-26,"Everywhere, Worldwide",Digital Only,https://shellhacks.net/,2022
24,BorderHacks,Sep 25th - 26th,2021-09-25,2021-09-25,2021-09-26,"Everywhere, Worldwide",Digital Only,https://www.borderhacks.com/,2022
25,sunhacks,Oct 1st - 3rd,2021-10-01,2021-10-01,2021-10-03,"Everywhere, Worldwide","Hybrid, Digital Focus",https://sunhacks.io/,2022
26,WildHacks,Oct 1st - 3rd,2021-10-01,2021-10-01,2021-10-03,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7419-wildhacks,2022
27,The Golden Hack,Oct 2nd - 3rd,2021-10-02,2021-10-02,2021-10-03,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.thegoldenhack.ca/,2022
28,Data Day Grind 2.0,Oct 8th - 10th,2021-10-08,2021-10-08,2021-10-10,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7475-data-day-grind-2-0,2022
29,DivHacks,Oct 8th - 10th,2021-10-08,2021-10-08,2021-10-10,"Everywhere, Online","Hybrid, Digital Focus",https://columbiadivhacks.com/,2022
30,HackHarvard,Oct 8th - 10th,2021-10-08,2021-10-08,2021-10-10,"Everywhere, Worldwide","Hybrid, Digital Focus",http://hackharvard.io/,2022
31,MakeUC,Oct 9th - 11th,2021-10-09,2021-10-09,2021-10-11,"Everywhere, Worldwide","Hybrid, Digital Focus",https://makeuc.io/,2022
32,Local Hack Day: Learn,Oct 10th - 18th,2021-10-10,2021-10-10,2021-10-18,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7190-local-hack-day-learn-2022,2022
33,Ada Hack,Oct 15th - 17th,2021-10-15,2021-10-15,2021-10-17,"Everywhere, Worldwide",Digital Only,https://adahack.tech/,2022
34,Hack the Valley,Oct 15th - 17th,2021-10-15,2021-10-15,2021-10-17,"Everywhere, Worldwide",Digital Only,https://hackthevalley.io,2022
35,MHacks 14,Oct 15th - 17th,2021-10-15,2021-10-15,2021-10-17,"Everywhere, Worldwide",Digital Only,http://mhacks.org/,2022
