ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
36,HackRU,Oct 16th - 17th,2021-10-16,2021-10-16,2021-10-17,"Everywhere, Worldwide",Digital Only,https://hackru.org/,2022
37,Cal Hacks,Oct 22nd - 24th,2021-10-22,2021-10-22,2021-10-24,"Everywhere, Worldwide","Hybrid, Digital Focus",https://calhacks.io/,2022
38,DandyHacks,Oct 22nd - 24th,2021-10-22,2021-10-22,2021-10-24,"Everywhere, Worldwide","Hybrid, In-Person Focus",https://dandyhacks.net/,2022
39,Hack Around the World,Oct 22nd - 24th,2021-10-22,2021-10-22,2021-10-24,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7476-hack-around-the-world,2022
40,Hack This Fall 2.0,Oct 22nd - 24th,2021-10-22,2021-10-22,2021-10-24,"Everywhere, Worldwide",Digital Only,https://hackthisfall.tech/,2022
41,Pitt Challenge,Oct 22nd - 24th,2021-10-22,2021-10-22,2021-10-24,"Everywhere, Worldwide",Digital Only,https://pittchallenge.com/,2022
42,PlutoHacks,Oct 22nd - 24th,2021-10-22,2021-10-22,2021-10-24,"Everywhere, Worldwide",Digital Only,https://plutohacks.com/,2022
43,DubHacks,Oct 23rd - 24th,2021-10-23,2021-10-23,2021-10-24,"Everywhere, Worldwide",Digital Only,https://dh21.dubhacks.co/,2022
44,HackDuke,Oct 23rd - 24th,2021-10-23,2021-10-23,2021-10-24,"Durham, North Carolina","Hybrid, In-Person Focus",https://2021.hackduke.org/,2022
45,hackCBS 4.0,Oct 29th - 31st,2021-10-29,2021-10-29,2021-10-31,"Everywhere, Worldwide",Digital Only,https://hackcbs.tech/,2022
46,HackNITR 3.0,Oct 29th - 31st,2021-10-29,2021-10-29,2021-10-31,"Everywhere, Worldwide",Digital Only,https://hacknitr.tech/#home,2022
47,Hack-O-Lantern,Oct 29th - 31st,2021-10-29,2021-10-29,2021-10-31,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7477-hack-o-lantern,2022
48,HackUMBC,Oct 29th - 31st,2021-10-29,2021-10-29,2021-10-31,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.hackumbc.org/,2022
49,VolHacks,Oct 29th - 31st,2021-10-29,2021-10-29,2021-10-31,"Knoxville, Tennessee","Hybrid, In-Person Focus",https://volhacks.org/,2022
50,HackTX,Oct 30th - 31st,2021-10-30,2021-10-30,2021-10-31,"Everywhere, Worldwide","Hybrid, Digital Focus",https://hacktx.com/,2022
51,Agent:Hacker,Nov 5th - 7th,2021-11-05,2021-11-05,2021-11-07,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7562-agent-hacker,2022
52,Hack K-State,Nov 5th - 7th,2021-11-05,2021-11-05,2021-11-07,"Manhattan, Kansas","Hybrid, In-Person Focus",https://hackkstate.tech/,2022
53,HackPrinceton,Nov 5th - 7th,2021-11-05,2021-11-05,2021-11-07,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.hackprinceton.com/,2022
54,HackUMass,Nov 5th - 7th,2021-11-05,2021-11-05,2021-11-07,"Everywhere, Worldwide","Hybrid, Digital Focus",https://hackumass.com/,2022
55,Tigerhacks,Nov 5th - 7th,2021-11-05,2021-11-05,2021-11-07,"Columbia, Missouri","Hybrid, Digital Focus",https://tigerhacks.com/,2022
56,Girls Hoo Hack,Nov 6th - 7th,2021-11-06,2021-11-06,2021-11-07,"Charlottesville, Virginia","Hybrid, Digital Focus",https://www.gwcuva.com/hack,2022
57,hackher,Nov 6th - 7th,2021-11-06,2021-11-06,2021-11-07,"Everywhere, Worldwide",Digital Only,https://qwic.org/hackHer,2022
58,hackPHS,Nov 6th - 7th,2021-11-06,2021-11-06,2021-11-07,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.hackphs.tech/,2022
59,HackRPI,Nov 6th - 7th,2021-11-06,2021-11-06,2021-11-07,"Everywhere, Worldwide",Digital Only,https://hackrpi.com/,2022
60,NewHacks,Nov 6th - 7th,2021-11-06,2021-11-06,2021-11-07,"Everywhere, Worldwide",Digital Only,https://newhacks.ca/,2022
61,UB Hacking,Nov 6th - 7th,2021-11-06,2021-11-06,2021-11-07,"Buffalo, New York","Hybrid, In-Person Focus",https://www.ubhacking.com/,2022
62,HackFit,Nov 12th - 14th,2021-11-12,2021-11-12,2021-11-14,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7563-hackfit,2022
63,Knight Hacks,Nov 12th - 14th,2021-11-12,2021-11-12,2021-11-14,"Everywhere, Worldwide","Hybrid, Digital Focus",https://2021.knighthacks.org/,2022
64,HackDown,Nov 13th - 14th,2021-11-13,2021-11-13,2021-11-14,"Ewing, New Jersey","Hybrid, In-Person Focus",https://hackdown.net/,2022
65,HackNJIT,Nov 13th - 14th,2021-11-13,2021-11-13,2021-11-14,"Everywhere, Worldwide","Hybrid, Digital Focus",https://hacknjit.org/,2022
66,Technica,Nov 13th - 14th,2021-11-13,2021-11-13,2021-11-14,"Everywhere, Worldwide","Hybrid, Digital Focus",https://gotechnica.org/,2022
67,Back to Hacking,Nov 19th - 21st,2021-11-19,2021-11-19,2021-11-21,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7564-back-to-hacking,2022
68,Garuda Hacks 2.0,Nov 19th - 21st,2021-11-19,2021-11-19,2021-11-21,"Everywhere, Worldwide",Digital Only,https://garudahacks.com/,2022
69,Hack Western 8,Nov 19th - 21st,2021-11-19,2021-11-19,2021-11-21,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.hackwestern.com/,2022
70,jacobsHack!,Nov 20th - 21st,2021-11-20,2021-11-20,2021-11-21,"Bremen, Germany","Hybrid, In-Person Focus",https://jacobshack.com/,2022
71,MetroHacks,Nov 21st - 22nd,2021-11-21,2021-11-21,2021-11-22,"Everywhere, Worldwide",Digital Only,https://metrohacks.dev,2022
72,Give Back Hacks 2.0,Nov 26th - 28th,2021-11-26,2021-11-26,2021-11-28,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7565-give-back-hacks-2-0,2022
73,NextStep,Nov 26th - 28th,2021-11-26,2021-11-26,2021-11-28,"Everywhere, Worldwide",Digital Only,https://www.hackalphax.co/,2022
74,Hackcoming,Dec 3rd - 5th,2021-12-03,2021-12-03,2021-12-05,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7607-hackcoming,2022
75,UniHack,Dec 3rd - 5th,2021-12-03,2021-12-03,2021-12-05,"Everywhere, Worldwide",Digital Only,https://unihack.eu/,2022
76,BEN Health Innovation Hackathon,Dec 4th - 5th,2021-12-04,2021-12-04,2021-12-05,"Everywhere, Worldwide",Digital Only,https://www.benhacks.org/,2022
77,Kent Hack Enough,Dec 4th - 5th,2021-12-04,2021-12-04,2021-12-05,"Everywhere, Worldwide",Digital Only,https://khe.io/,2022
78,Bon Hackétit 2.0,Dec 10th - 12th,2021-12-10,2021-12-10,2021-12-12,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7608-bon-hacketit-2-0,2022
79,MapHacks,Dec 17th - 19th,2021-12-17,2021-12-17,2021-12-19,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7609-maphacks,2022
80,Hacky Winterland,Dec 24th - 26th,2021-12-24,2021-12-24,2021-12-26,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7610-hacky-winterland,2022
81,"See You Later, Hackulator",Dec 31st - Jan 2nd,2021-12-31,2021-12-31,2022-01-02,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7794-see-you-later-hackulator,2022
82,HibernationHacks,Jan 7th - 9th,2022-01-07,2022-01-07,2022-01-09,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7795-hibernationhacks,2022
83,SheHacks+,Jan 7th - 9th,2022-01-07,2022-01-07,2022-01-09,"Everywhere, Worldwide",Digital Only,https://shehacks.ca/,2022
84,Local Hack Day: Build,Jan 9th - 16th,2022-01-09,2022-01-09,2022-01-16,"Everywhere, Worldwide",Digital Only,https://hackp.ac/build2022,2022
85,CruzHacks,Jan 14th - 16th,2022-01-14,2022-01-14,2022-01-16,"Everywhere, Worldwide",Digital Only,https://www.cruzhacks.com/,2022
86,DeltaHacks,Jan 14th - 16th,2022-01-14,2022-01-14,2022-01-16,"Everywhere, Worldwide",Digital Only,https://www.deltahacks.com/,2022
87,Hackville 2022,Jan 14th - 16th,2022-01-14,2022-01-14,2022-01-16,"Everywhere, Worldwide",Digital Only,https://hackville.io/,2022
88,[email protected],Jan 14th - 16th,2022-01-14,2022-01-14,2022-01-16,"Everywhere, Worldwide","Hybrid, Digital Focus",https://hack.wpi.edu/,2022
89,HackED 2022,Jan 15th - 16th,2022-01-15,2022-01-15,2022-01-16,"Everywhere, Worldwide",Digital Only,https://hacked.compeclub.com/,2022
90,nwHacks 2022,Jan 15th - 16th,2022-01-15,2022-01-15,2022-01-16,"Vancouver, BC",Digital Only,https://www.nwhacks.io/,2022
91,Rose Hack,Jan 15th - 16th,2022-01-15,2022-01-15,2022-01-16,"Everywhere, Worldwide",Digital Only,https://rosehack.com/,2022
92,BoilerMake IX,Jan 21st - 23rd,2022-01-21,2022-01-21,2022-01-23,"West Lafayette, Indiana","Hybrid, Digital Focus",https://boilermake.org/,2022
93,MacHacks,Jan 21st - 23rd,2022-01-21,2022-01-21,2022-01-23,"Everywhere, Worldwide",Digital Only,https://www.mcmasterai.com/machacks,2022
94,McHacks,Jan 21st - 23rd,2022-01-21,2022-01-21,2022-01-23,"Everywhere, Worldwide",Digital Only,https://www.mchacks.ca/,2022
95,QWER Hacks,Jan 21st - 23rd,2022-01-21,2022-01-21,2022-01-23,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.qwerhacks.com/,2022
96,Thehacktrical,Jan 21st - 23rd,2022-01-21,2022-01-21,2022-01-23,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7831-thehacktrical,2022
97,Hack Cambridge Atlas,Jan 22nd - 23rd,2022-01-22,2022-01-22,2022-01-23,"Cambridge, Cambridgeshire","Hybrid, Digital Focus",https://hackcambridge.com/,2022
98,MinneHack,Jan 22nd - 23rd,2022-01-22,2022-01-22,2022-01-23,"Everywhere, Worldwide",Digital Only,https://minnehack.io/,2022
99,StarHacks,Jan 22nd - 23rd,2022-01-22,2022-01-22,2022-01-23,"Everywhere, Worldwide",Digital Only,https://www.starhacks.tech/,2022
100,Fashion Tech Hackathon 2022,Jan 28th - 30th,2022-01-28,2022-01-28,2022-01-30,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.kent.edu/fashion/fth,2022
101,Hacknado,Jan 28th - 30th,2022-01-28,2022-01-28,2022-01-30,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7832-hacknado,2022
102,Hoya Hacks,Jan 28th - 30th,2022-01-28,2022-01-28,2022-01-30,"Everywhere, Worldwide",Digital Only,https://hoyahacks.georgetown.domains/,2022
103,QHacks,Jan 28th - 30th,2022-01-28,2022-01-28,2022-01-30,"Kingston, Ontario","Hybrid, Digital Focus",https://qhacks.io/,2022
104,SwampHacks,Jan 28th - 30th,2022-01-28,2022-01-28,2022-01-30,"Everywhere, Worldwide",Digital Only,https://2022.swamphacks.com/,2022
105,ConUHacks VI,Jan 29th - 30th,2022-01-29,2022-01-29,2022-01-30,"Everywhere, Worldwide",Digital Only,https://conuhacks.io/,2022
106,CUhackit 2022,Jan 29th - 30th,2022-01-29,2022-01-29,2022-01-30,"Clemson, SC","Hybrid, In-Person Focus",https://cuhack.it/#/,2022
107,Black Wings Hacks,Feb 4th - 6th,2022-02-04,2022-02-04,2022-02-06,"Everywhere, Worldwide",Digital Only,https://hopin.com/events/2022-black-wings-hacks/registration?_hsenc=p2ANqtz--KUMSGe5xLY9jV_eyqEP-OqF5qyOwNfCe8qOuW9rTuNxbHrLgmStXR-0nNSc5vjb9_GM9er4nZ2M3dWHlQK0GbjWya3w&_hsmi=198406204&code=TSgojDlJNjkz19EAFUtggsJqZ&utm_content=198406204&utm_medium=email&,2022
108,JigsawHacks,Feb 4th - 6th,2022-02-04,2022-02-04,2022-02-06,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7889-hosted-by-mlh-04-02-2022-to-06-02-2022,2022
109,SB Hacks VIII,Feb 4th - 6th,2022-02-04,2022-02-04,2022-02-06,"Everywhere, Worldwide",Digital Only,https://sbhacks.com/,2022
110,UofTHacks IX,Feb 4th - 6th,2022-02-04,2022-02-04,2022-02-06,"Toronto, Ontario","Hybrid, In-Person Focus",https://uofthacks.com/,2022
111,BC Hacks,Feb 5th - 6th,2022-02-05,2022-02-05,2022-02-06,"Everywhere, Worldwide",Digital Only,https://www.cscu.io/bc-hacks-3,2022
112,GunnHacks 8.0,Feb 5th - 6th,2022-02-05,2022-02-05,2022-02-06,"Everywhere, Worldwide",Digital Only,https://www.gunnhacks.com/,2022
113,HackHer413,Feb 5th - 6th,2022-02-05,2022-02-05,2022-02-06,"Amherst, MA","Hybrid, In-Person Focus",https://www.hackher413.com/,2022
114,Hack the Burgh VIII,Feb 5th - 6th,2022-02-05,2022-02-05,2022-02-06,"Edinburgh, Midlothian",In-Person Only,https://2022.hacktheburgh.com/,2022
115,HackViolet,Feb 5th - 6th,2022-02-05,2022-02-05,2022-02-06,"Everywhere, Worldwide",Digital Only,https://www.hackviolet.com/,2022
116,Royal Hackaway v5,Feb 5th - 6th,2022-02-05,2022-02-05,2022-02-06,"Egham, Surrey","Hybrid, In-Person Focus",https://royalhackaway.com/#/,2022
117,Don't Go Hacking My Heart,Feb 11th - 13th,2022-02-11,2022-02-11,2022-02-13,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7890-hosted-by-mlh-11-02-2022-to-13-02-2022,2022
118,Do you have the GUTS,Feb 11th - 13th,2022-02-11,2022-02-11,2022-02-13,"Everywhere, Worldwide",Digital Only,https://gutechsoc.com/hackathon,2022
119,ElleHacks,Feb 11th - 13th,2022-02-11,2022-02-11,2022-02-13,"Everywhere, Worldwide",Digital Only,https://ellehacks.com/,2022
120,Kurinji Hacks,Feb 11th - 13th,2022-02-11,2022-02-11,2022-02-13,"Everywhere, Worldwide",Digital Only,https://superposition-chennai.github.io/Kurinji-Hacks-Website/,2022
121,PolyHacks - Hackatown,Feb 11th - 13th,2022-02-11,2022-02-11,2022-02-13,"Everywhere, Worldwide",In-Person Only,https://hackatown.io/#/en,2022
122,AuburnHacks,Feb 12th - 13th,2022-02-12,2022-02-12,2022-02-13,"Auburn, Alabama",In-Person Only,https://auburnhacks.com/,2022
123,Hacklahoma,Feb 12th - 13th,2022-02-12,2022-02-12,2022-02-13,"Norman, Oklahoma","Hybrid, In-Person Focus",https://2022.hacklahoma.org/,2022
124,Hack The League,Feb 12th - 13th,2022-02-12,2022-02-12,2022-02-13,"Everywhere, Worldwide",Digital Only,https://www.hacktheleague.tech/,2022
125,UniHacks,Feb 12th - 13th,2022-02-12,2022-02-12,2022-02-13,"Durham, CA","Hybrid, In-Person Focus",https://unihacks.ncssm.edu/,2022
126,HackBMU 5.0,Feb 17th - 19th,2022-02-17,2022-02-17,2022-02-19,"Everywhere, Worldwide",Digital Only,https://hackbmu.tech/,2022
127,Do-Re-Mi Hacks II,Feb 18th - 20th,2022-02-18,2022-02-18,2022-02-20,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7891-do-re-mi-hacks-ii,2022
128,[email protected] 2022,Feb 18th - 20th,2022-02-18,2022-02-18,2022-02-20,"Everywhere, Worldwide",Digital Only,https://www.cewit.org/programs/events/hack.php,2022
129,Pearl Hacks,Feb 18th - 20th,2022-02-18,2022-02-18,2022-02-20,"Chapel Hill, NC","Hybrid, In-Person Focus",https://pearlhacks.com/,2022
130,StormHacks 2022,Feb 18th - 20th,2022-02-18,2022-02-18,2022-02-20,"Everywhere, Worldwide",Digital Only,https://stormhacks.com/,2022
131,UGAHacks 7,Feb 18th - 20th,2022-02-18,2022-02-18,2022-02-20,"Athens, GA","Hybrid, In-Person Focus",https://ugahacks.com/,2022
132,yuHacks,Feb 18th - 19th,2022-02-18,2022-02-18,2022-02-19,"Everywhere, Worldwide",Digital Only,https://yuhacks.tech/,2022
133,AthenaHacks,Feb 19th - 20th,2022-02-19,2022-02-19,2022-02-20,"Los Angeles, California","Hybrid, Digital Focus",https://athenahacks.com/,2022
134,CuseHacks,Feb 19th - 20th,2022-02-19,2022-02-19,2022-02-20,"Syracuse, New York","Hybrid, Digital Focus",https://innovateorange.github.io/cusehacks/,2022
135,DurHack,Feb 19th - 20th,2022-02-19,2022-02-19,2022-02-20,"Durham, United Kingdom",In-Person Only,https://durhack.com/,2022
136,Electrothon 4.0,Feb 19th - 20th,2022-02-19,2022-02-19,2022-02-20,"Everywhere, Worldwide","Hybrid, Digital Focus",https://electrothon.specnith.com/,2022
137,Abstract Hacks,Feb 25th - 27th,2022-02-25,2022-02-25,2022-02-27,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7892-abstract-hacks,2022
138,HackNYU,Feb 25th - 27th,2022-02-25,2022-02-25,2022-02-27,"Everywhere, Worldwide",Digital Only,https://hacknyu.org/,2022
139,TuffyHacks,Feb 25th - 26th,2022-02-25,2022-02-25,2022-02-26,"Everywhere, Worldwide","Hybrid, Digital Focus",https://www.tuffyhacks.com/,2022
140,VTHacks IX,Feb 25th - 27th,2022-02-25,2022-02-25,2022-02-27,"Everywhere, Worldwide",Digital Only,https://vthacks.com/,2022
141,Oxford Hack,Feb 26th - 27th,2022-02-26,2022-02-26,2022-02-27,"Oxford, Oxfordshire",In-Person Only,https://oxfordhack22.co.uk,2022
142,RevolutionUC,Feb 26th - 27th,2022-02-26,2022-02-26,2022-02-27,"Everywhere, Worldwide",Digital Only,https://revolutionuc.com/,2022
143,WarwickHACK 2022,Feb 26th - 27th,2022-02-26,2022-02-26,2022-02-27,"Coventry, United Kingdom","Hybrid, In-Person Focus",https://hack.warwick.tech/,2022
144,WiCHacks,Feb 26th - 27th,2022-02-26,2022-02-26,2022-02-27,"Everywhere, Worldwide","Hybrid, Digital Focus",https://wichacks.io/,2022
145,A Hack A Day,Mar 4th - 6th,2022-03-04,2022-03-04,2022-03-06,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7902-a-hack-a-day,2022
146,HackMerced VII,Mar 4th - 6th,2022-03-04,2022-03-04,2022-03-06,"Everywhere, Worldwide",Digital Only,https://hackmerced.com/#/hackmercedvii,2022
147,Polihacks,Mar 4th - 6th,2022-03-04,2022-03-04,2022-03-06,"Everywhere, Worldwide",Digital Only,https://www.polihacks.dev/,2022
148,BrickHack 8,Mar 5th - 6th,2022-03-05,2022-03-05,2022-03-06,"Everywhere, Worldwide",Digital Only,https://brickhack.io/,2022
149,cmd-f,Mar 5th - 6th,2022-03-05,2022-03-05,2022-03-06,"Everywhere, Worldwide",Digital Only,https://cmd-f.nwplus.io/,2022
150,Makeathon 4.0,Mar 5th - 6th,2022-03-05,2022-03-05,2022-03-06,"Everywhere, Worldwide","Hybrid, Digital Focus",https://make4thon.mlsctiet.co.in/,2022
151,NSBEHacks 2022,Mar 5th - 6th,2022-03-05,2022-03-05,2022-03-06,"Everywhere, Worldwide",Digital Only,https://www.nsbehacksuoft.ca/,2022
152,HackOwasp 4.0,Mar 11th - 13th,2022-03-11,2022-03-11,2022-03-13,"Everywhere, Worldwide","Hybrid, Digital Focus",https://hackowasp.live/,2022
153,SF Hacks,Mar 11th - 13th,2022-03-11,2022-03-11,2022-03-13,"Everywhere, Worldwide",Digital Only,https://sfhacks.io/,2022
154,SheHacks,Mar 11th - 13th,2022-03-11,2022-03-11,2022-03-13,"Everywhere, Worldwide",Digital Only,https://shehacks.co/,2022
155,Tidy The Hack Up II,Mar 11th - 13th,2022-03-11,2022-03-11,2022-03-13,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7903-tidy-the-hack-up-ii,2022
156,HackCWRU,Mar 18th - 20th,2022-03-18,2022-03-18,2022-03-20,"Everywhere, Worldwide",Digital Only,https://hackcwru.info/,2022
157,HackGSU,Mar 18th - 22nd,2022-03-18,2022-03-18,2022-03-22,"Everywhere, Worldwide",Digital Only,https://hackgsu.com/,2022
158,HealthHacks Presented by PennApps x WUHC,Mar 18th - 20th,2022-03-18,2022-03-18,2022-03-20,"Everywhere, Worldwide",Digital Only,https://wild-router-277.notion.site/HealthHacks-by-PennApps-x-WUHC-78039ad6a4dc41e58348773378ea17dd,2022
159,Power Up Hacks,Mar 18th - 20th,2022-03-18,2022-03-18,2022-03-20,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/7904-power-up-hacks,2022
160,CalvinHacks,Mar 25th - 26th,2022-03-25,2022-03-25,2022-03-26,"Grand Rapids, Michigan",In-Person Only,https://calvinhacks.org/,2022
161,Cypher VII,Mar 25th - 27th,2022-03-25,2022-03-25,2022-03-27,"Everywhere, Worldwide","Hybrid, Digital Focus",https://cypher.cs.wm.edu/,2022
162,GirlHacks,Mar 25th - 26th,2022-03-25,2022-03-25,2022-03-26,"Everywhere, Worldwide","Hybrid, Digital Focus",https://girlhacks.github.io/,2022
163,Hack Empowered,Mar 25th - 27th,2022-03-25,2022-03-25,2022-03-27,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/8054-hack-empowered,2022
164,Treasure Hacks 2.0,Mar 25th - 26th,2022-03-25,2022-03-25,2022-03-26,"Everywhere, Worldwide",Digital Only,https://treasurehacks.org/,2022
165,WinHacks,Mar 25th - 27th,2022-03-25,2022-03-25,2022-03-27,"Everywhere, Worldwide",Digital Only,http://winhacks.ca/,2022
